,date,txn_count
1187,2015-07-12,104687
1188,2015-07-13,85771
1189,2015-07-14,78142
1190,2015-07-15,88117
1191,2015-07-16,83028
1192,2015-07-17,96229
1193,2015-07-18,105038
1194,2015-07-19,108308
1195,2015-07-20,92954
1196,2015-07-21,82464
1197,2015-07-22,79746
1198,2015-07-23,80989
1199,2015-07-24,95797
1200,2015-07-25,104223
1201,2015-07-26,109559
1202,2015-07-27,95707
1203,2015-07-28,87364
1204,2015-07-29,86563
1205,2015-07-30,92115
1206,2015-07-31,119161
1207,2015-08-01,119367
1208,2015-08-02,116067
1209,2015-08-03,107425
1210,2015-08-04,94177
1211,2015-08-05,92846
1212,2015-08-06,90329
1213,2015-08-07,104315
1214,2015-08-08,106716
1215,2015-08-09,107637
1216,2015-08-10,96090
1217,2015-08-11,88392
1218,2015-08-12,87469
1219,2015-08-13,89205
1220,2015-08-14,112626
1221,2015-08-15,112615
1222,2015-08-16,115419
1223,2015-08-17,104587
1224,2015-08-18,96997
1225,2015-08-19,96223
1226,2015-08-20,98289
1227,2015-08-21,113947
1228,2015-08-22,121431
1229,2015-08-23,127324
1230,2015-08-24,115156
1231,2015-08-25,109833
1232,2015-08-26,107221
1233,2015-08-27,110118
1234,2015-08-28,133583
1235,2015-08-29,143229
1236,2015-08-30,151558
1237,2015-08-31,145249
1238,2015-09-01,141034
1239,2015-09-02,128377
1240,2015-09-03,126727
1241,2015-09-04,145129
1242,2015-09-05,142280
1243,2015-09-06,138040
1244,2015-09-07,147435
1245,2015-09-08,138299
1246,2015-09-09,127920
1247,2015-09-10,129496
1248,2015-09-11,143567
1249,2015-09-12,149250
1250,2015-09-13,154441
1251,2015-09-14,124252
1252,2015-09-15,127966
1253,2015-09-16,115766
1254,2015-09-17,117508
1255,2015-09-18,142488
1256,2015-09-19,153404
1257,2015-09-20,159127
1258,2015-09-21,130022
1259,2015-09-22,120909
1260,2015-09-23,116307
1261,2015-09-24,121695
1262,2015-09-25,146159
1263,2015-09-26,156736
1264,2015-09-27,163741
1265,2015-09-28,136567
1266,2015-09-29,128538
1267,2015-09-30,141095
1268,2015-10-01,152131
1269,2015-10-02,164762
1270,2015-10-03,169951
1271,2015-10-04,175232
1272,2015-10-05,143473
1273,2015-10-06,127231
1274,2015-10-07,122888
